method,scenario,n,CumulativeUtility_mean,AverageSlateUtility_mean,ClickRate_mean,LeaveRate_mean,AverageSessionLength_mean,SlateDiversity_mean,CategoryCoverage_mean,InstructionUplift@1_mean,InstructionUplift@H_mean,OverCorrectionRegret@1_mean,OverCorrectionRegret@H_mean,DuringHorizonUtility_mean,PostExpiryRecoveryUtility_mean,PostExpirySuppressionRegret_mean,ExpiredConstraintViolationRate_mean,DriftRecoveryTurns_mean,RollbackAccuracy_mean,MemoryContaminationRate_mean,PromotionPrecision_mean,PromotionRecall_mean,ScopeClassificationAccuracy_mean,parser_scope_error_mean,memory_update_error_mean,policy_application_error_mean,candidate_coverage_error_mean
critiquescope,behavioral_rollback,3,20.54,1.7116666666666667,1.0,0.0,12.0,0.8333333333333334,11.0,-0.6893333333333332,-3.671333333333333,0.0,0.0,4.228666666666666,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0
critiquescope,diversity_request,3,21.58,1.7983333333333333,0.9722222222222222,0.0,12.0,0.8166666666666667,11.0,-0.6499999999999999,0.46999999999999975,-0.6499999999999999,0.46999999999999975,0.9299999999999999,7.4399999999999995,1.12,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
critiquescope,genuine_drift,3,23.58,1.9649999999999999,1.0,0.0,12.0,0.75,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.08333333333333333
critiquescope,mixed_multi_turn,3,20.98,1.7483333333333333,1.0,0.0,12.0,0.8,11.0,-0.3599999999999999,0.16000000000000014,0.0,0.0,4.78,3.6399999999999997,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.75,0.25,0.0,0.0,0.16666666666666666
critiquescope,session_context,3,21.139999999999997,1.7616666666666665,1.0,0.0,12.0,1.0,10.0,0.0,0.0,0.0,0.0,6.239999999999999,1.5599999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.08333333333333333
critiquescope,stable_dislike,3,21.24,1.77,1.0,0.0,12.0,0.95,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.08333333333333333
critiquescope,temporary_fatigue,3,21.259999999999998,1.7716666666666665,1.0,0.0,12.0,0.8500000000000001,11.0,-0.3599999999999999,0.16000000000000103,0.0,0.0,4.5,3.56,0.0,0.8,0.0,0.0,0.0,1.0,1.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0
flat,behavioral_rollback,3,11.91,0.9924999999999999,0.8888888888888888,0.0,12.0,0.8833333333333333,11.0,-0.12933333333333316,-0.3486666666666662,0.0,0.0,4.195333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0
flat,diversity_request,3,13.908666666666667,1.1590555555555555,0.9722222222222222,0.0,12.0,0.8500000000000001,11.0,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
flat,genuine_drift,3,14.363333333333332,1.1969444444444444,0.9166666666666666,0.0,12.0,0.8166666666666667,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.08333333333333333
